episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
16400,0.9653798888888889,67500,30675.0,11571.299443359376,94845,0.0,21,42480.0,15,399,30,19,20,16,21,23,38
16500,0.9651687777777778,26750,35225.0,11389.1562890625,95430,0.0,13,43730.0,4,426,22,23,19,29,25,17,24
16600,0.9649576666666667,70750,42050.0,11404.603994140625,96009,0.0,10,49630.0,10,414,24,25,19,23,29,17,28
16700,0.9647465555555556,-65000,30390.0,11050.393642578125,96584,0.0,10,38320.0,8,416,32,15,16,24,25,20,27
16800,0.9645354444444445,41750,30640.0,11318.5462109375,97157,0.0,13,39510.0,6,414,19,25,23,19,25,19,29
16900,0.9643243333333333,-45500,28305.0,11489.523920898437,97724,0.0,18,39280.0,8,406,29,21,27,28,19,14,23
17000,0.9641132222222222,-4000,31440.0,11368.103046875,98298,0.0,19,42440.0,7,413,19,20,22,20,29,21,30
17100,0.9639021111111111,132000,31785.0,11542.870834960937,98878,0.0,12,41160.0,13,420,20,32,21,16,18,24,29
17200,0.963691,67250,27930.0,11711.4584765625,99452,0.0,16,37490.0,7,410,18,22,26,23,27,27,21
17300,0.9634798888888889,1750,30147.5,11467.85392578125,100000,0.0,12,39060.0,10,424,21,33,17,20,19,25,23
17400,0.9632687777777778,-50750,32517.5,11388.144453125,100000,0.0,15,41610.0,11,408,17,27,35,20,16,22,30
17500,0.9630576666666667,136000,35995.0,11715.490205078126,100000,0.0,12,44840.0,8,411,21,19,30,24,17,19,32
17600,0.9628465555555555,75000,37065.0,11547.404868164063,100000,0.0,13,45110.0,14,417,26,23,18,18,31,25,29
17700,0.9626354444444445,65000,35595.0,11574.879775390626,100000,0.0,11,43450.0,12,413,27,30,22,20,24,19,28
17800,0.9624243333333333,81750,37140.0,11629.65234375,100000,0.0,16,46770.0,14,416,21,21,17,36,18,24,29
17900,0.9622132222222222,250,35952.5,11555.586220703124,100000,0.0,11,44060.0,8,429,17,21,19,25,22,16,36
18000,0.9620021111111111,54000,26767.5,11571.250053710937,100000,0.0,18,37590.0,7,413,16,28,21,21,21,29,24
18100,0.961791,-61000,25197.5,11157.532465820312,100000,0.0,13,34090.0,9,411,20,23,24,21,19,30,26
18200,0.9615798888888889,103000,27062.5,11323.11837890625,100000,0.0,15,36470.0,8,406,22,28,17,25,21,28,23
18300,0.9613687777777777,104000,32310.0,11270.39056640625,100000,0.0,16,41870.0,7,413,18,17,25,24,23,28,28
18400,0.9611576666666667,-3250,28210.0,11482.899267578125,100000,0.0,15,38480.0,14,420,16,20,17,25,21,26,33
18500,0.9609465555555555,40500,31222.5,11429.25837890625,100000,0.0,11,38970.0,7,427,21,21,29,21,19,19,28
18600,0.9607354444444445,5500,26987.5,11460.675458984375,100000,0.0,16,36890.0,5,415,17,22,23,24,31,20,24
18700,0.9605243333333333,33500,20132.5,11277.8502734375,100000,0.0,13,29300.0,8,427,17,34,26,23,18,27,15
18800,0.9603132222222223,7000,28267.5,11082.795439453124,100000,0.0,13,37320.0,11,419,25,22,19,23,18,28,25
18900,0.9601021111111111,5000,25717.5,11433.512333984376,100000,0.0,20,38270.0,9,414,17,18,31,23,21,16,29
19000,0.959891,-61000,26520.0,11559.802944335937,100000,0.0,17,37720.0,12,404,20,17,18,26,24,26,33
19100,0.9596798888888889,71000,32822.5,11281.487895507813,100000,0.0,12,40830.0,6,408,29,17,28,20,16,27,28
19200,0.9594687777777777,-74000,29285.0,11448.347578125,100000,0.0,21,40650.0,8,411,31,20,21,17,24,22,28
19300,0.9592576666666667,14500,22347.5,11286.547451171875,100000,0.0,19,34560.0,8,405,22,26,18,28,19,14,33
19400,0.9590465555555555,67500,32260.0,11637.66095703125,100000,0.0,14,41440.0,6,419,22,24,22,28,20,15,26
19500,0.9588354444444445,21250,39482.5,11295.3121875,100000,0.0,10,46690.0,6,421,22,27,19,15,22,24,36
19600,0.9586243333333333,2250,21917.5,11340.90091796875,100000,0.0,13,31260.0,17,409,25,26,22,28,22,26,19
19700,0.9584132222222222,-52750,33147.5,11214.649111328124,100000,0.0,13,42030.0,8,423,19,19,19,17,34,20,30
19800,0.9582021111111111,134000,25590.0,11389.833984375,100000,0.0,19,37180.0,12,404,21,21,28,17,26,19,35
19900,0.957991,58250,32547.5,11366.240634765625,100000,0.0,11,40650.0,9,413,23,23,24,12,25,25,34
20000,0.9577798888888889,500,37360.0,11319.145380859374,100000,0.0,9,44100.0,6,425,35,19,18,16,23,21,31
20100,0.9575687777777778,29000,34692.5,11574.08767578125,100000,0.0,12,42600.0,11,416,23,26,19,20,22,26,30
20200,0.9573576666666667,36000,27230.0,11640.3747265625,100000,0.0,13,36030.0,11,422,27,13,26,22,36,15,26
20300,0.9571465555555556,61500,28875.0,11743.0757421875,100000,0.0,19,41000.0,9,409,19,15,28,22,28,21,25
20400,0.9569354444444444,20750,32702.5,11452.68767578125,100000,0.0,15,41800.0,8,412,23,25,32,19,21,25,26
20500,0.9567243333333333,90500,21150.0,11525.015556640625,100000,0.0,19,32440.0,8,415,24,22,20,16,24,28,28
20600,0.9565132222222222,164750,20555.0,11482.917758789063,100000,0.0,20,31850.0,8,405,18,24,20,32,22,27,21
20700,0.9563021111111111,64750,27660.0,11516.4530859375,100000,0.0,15,37940.0,11,416,15,16,24,24,30,23,26
20800,0.956091,20500,24227.5,11665.011875,100000,0.0,17,34740.0,9,404,23,37,23,17,15,24,24
20900,0.9558798888888889,22000,47495.0,11613.775615234375,100000,0.0,6,52160.0,11,420,24,22,15,27,28,25,32
21000,0.9556687777777778,10750,37280.0,11362.405478515626,100000,0.0,12,45640.0,9,410,23,25,25,23,17,21,31
21100,0.9554576666666666,49500,41975.0,11734.279951171875,100000,0.0,8,47690.0,15,413,27,17,21,19,32,30,31
21200,0.9552465555555556,23250,30442.5,11737.842758789062,100000,0.0,12,38110.0,10,424,23,23,23,23,30,23,20
21300,0.9550354444444444,-56250,24392.5,11223.299208984376,100000,0.0,19,36500.0,6,410,21,22,21,24,20,20,25
21400,0.9548243333333333,117750,29310.0,11221.592446289062,100000,0.0,14,37770.0,6,417,20,28,17,30,19,23,29
21500,0.9546132222222222,31750,27660.0,11617.86255859375,100000,0.0,13,36160.0,11,419,34,20,26,21,19,30,17
21600,0.9544021111111111,-3500,43070.0,11630.565830078125,100000,0.0,13,51160.0,7,400,24,26,20,18,23,20,41
21700,0.954191,3250,38035.0,11242.096127929688,100000,0.0,10,45530.0,17,422,27,20,21,23,23,25,29
21800,0.9539798888888888,12000,42127.5,11549.968696289063,100000,0.0,6,48020.0,8,424,25,25,15,23,16,16,41
21900,0.9537687777777778,-4250,36162.5,11584.12240234375,100000,0.0,12,44230.0,10,418,21,24,20,28,19,16,38
22000,0.9535576666666666,-51000,39595.0,11594.82384765625,100000,0.0,12,47020.0,7,413,21,21,25,23,21,32,27
